file,emotion,text,speaker
Ses01F_impro03_F021,hap,yeah. we played wheel of fortune pennies. it's like a giant thing with like-,Ses01F
Ses01F_impro03_F022,neu,fifty bucks. mmhmm.,Ses01F
Ses01F_impro03_F023,neu,yeah.,Ses01F
Ses01F_impro03_F024,hap,well so now we're married. we have cat children.,Ses01F
Ses01F_impro03_F025,hap,"we renamed brenda, lumber janet.",Ses01F
Ses01F_impro03_F026,hap,she needs a new name each state that we go into. [laughter],Ses01F
Ses01F_impro03_M000,neu,so what's up? what's new?,Ses01M
Ses01F_impro03_M001,neu,yeah. i heard.,Ses01M
Ses01F_impro03_M003,hap,who did you marry?,Ses01M
Ses01F_impro03_M006,neu,he turned to you and was like...,Ses01M
Ses01F_impro03_M007,hap,[laughter] that's really romantic.,Ses01M
Ses01F_impro03_M008,neu,yeah.,Ses01M
Ses01F_impro03_M009,neu,"does that mean that you're going to get citizenship, too, in- in england or whatever?",Ses01M
Ses01F_impro03_M011,neu,yeah. but he'll have like a long visa. can you go visit then for a long time?,Ses01M
Ses01F_impro03_M013,hap,like you need another one of those.[laughter],Ses01M
Ses01F_impro03_M014,hap,is that your phone?,Ses01M
Ses01F_impro03_M015,hap,he loves you.,Ses01M
Ses01F_impro03_M016,neu,how much did he win at the slot?,Ses01M
Ses01F_impro03_M019,neu,i'm a big fan of the wheel of fortune quarters. but it just costs so much. i don't know.,Ses01M
Ses01F_impro03_M020,neu,"but the pennies always get you because you end up spending like, you know, fifty bucks.",Ses01M
Ses01F_impro03_M021,neu,"like, wait, but it's just pennies. you're like, wait a minute i'm on to you.",Ses01M
Ses01F_impro03_M022,hap,awesome.,Ses01M
Ses01F_impro03_M023,hap,[laughter] cat babies.,Ses01M
Ses01F_impro03_M024,neu,that's fair enough.,Ses01M
Ses01F_impro04_F000,neu,"uh, what? craig's list? oh the internet thing?",Ses01F
Ses01F_impro04_F001,neu,i don't know. isn't that-- that's all like escort services and things like that.,Ses01F
Ses01F_impro04_F005,neu,he just...,Ses01F
Ses01F_impro04_F006,neu,you know what? i heard about that job. i applied for that.,Ses01F
Ses01F_impro04_F009,neu,yeah.,Ses01F
Ses01F_impro04_F013,neu,i just- i mean i call people up and i tell them what i'm good at.,Ses01F
Ses01F_impro04_F014,neu,yeah.,Ses01F
Ses01F_impro04_F028,ang,i'm not frustrated.,Ses01F
Ses01F_impro04_F029,ang,who do you think you are?,Ses01F
Ses01F_impro04_F030,ang,you are so high and mighty. i just--,Ses01F
Ses01F_impro04_F031,ang,oh. i'm saving the environment. i'm riding this car because i- i want to.,Ses01F
Ses01F_impro04_F032,ang,"the bus, i'm riding the bus because i want to.",Ses01F
Ses01F_impro04_F033,ang,i can not-- you are not here by choice. nobody would ride this bus by choice.,Ses01F
Ses01F_impro04_M000,neu,"have you tried, uh, craig's list?",Ses01M
Ses01F_impro04_M001,neu,yeah.,Ses01M
Ses01F_impro04_M002,neu,no. there's regular jobs on there.,Ses01M
Ses01F_impro04_M003,neu,uh huh.,Ses01M
Ses01F_impro04_M004,neu,i'm just saying i have a friend that got a good job on it so i was just recommending it.,Ses01M
Ses01F_impro04_M005,neu,he's like a manager for a theatre.,Ses01M
Ses01F_impro04_M006,neu,he's like a house manager. yeah. it's a good job.,Ses01M
Ses01F_impro04_M007,neu,you did?,Ses01M
Ses01F_impro04_M008,neu,yeah.,Ses01M
Ses01F_impro04_M009,neu,you've been looking for a job for a long time; that was a long time ago. right?,Ses01M
Ses01F_impro04_M010,neu,hmm.,Ses01M
Ses01F_impro04_M011,neu,i don't know. he had a really good resume i guess and--,Ses01M
Ses01F_impro04_M012,neu,yeah. do you have a resume?,Ses01M
Ses01F_impro04_M013,neu,it's kind of helpful when getting a job.,Ses01M
Ses01F_impro04_M014,neu,well maybe we should sit down some time and you can just tell me all the stuff that you have done and i'll write it out.,Ses01M
Ses01F_impro04_M015,neu,"no. you can- or you can just bring it in person. but they need, generally, something to see, you know, what kind of what that you've done, what kind of--",Ses01M
Ses01F_impro04_M016,neu,"yeah. but the piece of paper helps, too.",Ses01M
Ses01F_impro04_M017,neu,"no. but it has an outline, you know.",Ses01M
Ses01F_impro04_M018,neu,"i know. okay. well, um. maybe--",Ses01M
Ses01F_impro04_M019,neu,yeah.,Ses01M
Ses01F_impro04_M020,neu,"okay, yeah. i would imagine.",Ses01M
Ses01F_impro04_M021,neu,"well, sometimes you have to do things that you don't necessarily like to do to have a job. but the job affords you money, you won't have to be taking the bus right now.",Ses01M
Ses01F_impro04_M022,neu,maybe get a car.,Ses01M
Ses01F_impro04_M023,neu,"i just, you know, think you should try a little harder maybe.",Ses01M
Ses01F_impro04_M024,neu,i didn't say that.,Ses01M
Ses01F_impro04_M025,neu,"i am riding the bus, but by choice.",Ses01M
Ses01F_impro04_M026,neu,"to save the environment, carpool.",Ses01M
Ses01F_impro04_M027,neu,yes. one less car at a time.,Ses01M
Ses01F_impro04_M028,neu,mmhmm.,Ses01M
Ses01F_impro04_M031,neu,i don't think i'm anyone.,Ses01M
Ses01F_impro04_M032,neu,i- i-i didn't-- okay.,Ses01M
Ses01F_impro05_F008,ang,flight seven fourteen.,Ses01F
Ses01F_impro05_F009,ang,"am i going to be getting, like, free tickets, free mileage. when can i expect my bag here?",Ses01F
Ses01F_impro05_F011,ang,is this a joke?,Ses01F
Ses01F_impro05_F012,ang,"are there candid cameras? is this that movie? there's that show, right? airplane, airline.",Ses01F
Ses01F_impro05_F014,ang,"you're kidding me, this is a joke.",Ses01F
Ses01F_impro05_F015,ang,do you have any idea-- fifty dollars? that's supposed to replace everything that i have? do you understand how much i have packed in there? not only does it have sentimental value; it can't be replaced like that. it was incredibly expensive.,Ses01F
Ses01F_impro05_F016,ang,we flew in from paris. i've been shopping for three weeks.,Ses01F
Ses01F_impro05_F017,ang,i don't care what you're freaking sign says. somebody- somebody needs to replace everything i've got there and give me money for my inconvenience.,Ses01F
Ses01F_impro05_F018,ang,do you understand who my husband is?,Ses01F
Ses01F_impro05_F019,ang,"if you're- if you're- if you're looking for a lawsuit, baby, you've found it.",Ses01F
Ses01F_impro05_F020,ang,oh-oh. it's a gift. you're-you're helping me out here?,Ses01F
Ses01F_impro05_F021,ang,you are cruising for a bruising. you are in so much trouble.,Ses01F
Ses01F_impro05_F022,ang,who's in charge? who is the president of jet blue?,Ses01F
Ses01F_impro05_F023,ang,because i probably know him.,Ses01F
Ses01F_impro05_F024,ang,yeah.,Ses01F
Ses01F_impro05_F025,ang,"i don't want money, i want my clothes.",Ses01F
Ses01F_impro05_F026,ang,what's your name?,Ses01F
Ses01F_impro05_F028,ang,okay. i'll do that.,Ses01F
Ses01F_impro05_F029,ang,i don't think you have done everything you could do because i don't have my bag here yet.,Ses01F
Ses01F_impro05_F030,ang,a letter? i'll make a personal phone call.,Ses01F
Ses01F_impro05_M000,neu,hi. thanks for waiting.,Ses01M
Ses01F_impro05_M001,hap,can i help you?,Ses01M
Ses01F_impro05_M002,hap,uh huh.,Ses01M
Ses01F_impro05_M003,neu,okay.,Ses01M
Ses01F_impro05_M004,neu,okay.,Ses01M
Ses01F_impro05_M005,neu,okay. great. i'm really sorry that you had to do that. what's your last name? let's start there.,Ses01M
Ses01F_impro05_M006,neu,okay.,Ses01M
Ses01F_impro05_M007,neu,all right- okay. and you lost your bag? is that- that the issue?,Ses01M
Ses01F_impro05_M008,neu,uh-huh.,Ses01M
Ses01F_impro05_M009,neu,"yeah. yeah, i don't see- i don't see any--",Ses01M
Ses01F_impro05_M010,neu,"i don't see any record of it, and i-usually when i don't see a record of it, that means um-",Ses01M
Ses01F_impro05_M011,neu,"we've mistakenly lost your baggage. we're very sorry. on behalf of jet blue i would like to apologize for any inconvenience. i am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. i'm very sorry, once again...",Ses01M
Ses01F_impro05_M012,neu,"for such an inconvenience and your bag, but",Ses01M
Ses01F_impro05_M013,neu,yeah.,Ses01M
Ses01F_impro05_M014,neu,"no, no.",Ses01M
Ses01F_impro05_M015,neu,"no, no. this is real.",Ses01M
Ses01F_impro05_M016,neu,"no. i'm just giving you money, the bag is gone. if it's not here, i'm really sorry there is nothing i can do because...",Ses01M
Ses01F_impro05_M017,neu,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,Ses01M
Ses01F_impro05_M019,neu,yes.,Ses01M
Ses01F_impro05_M020,neu,i know.,Ses01M
Ses01F_impro05_M022,neu,okay. calm-,Ses01M
Ses01F_impro05_M023,neu,"actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",Ses01M
Ses01F_impro05_M024,neu,"we are actually not even allowed-- you know, like we don't have to give you this fifty dollars. we don't have to do that.",Ses01M
Ses01F_impro05_M025,neu,it's a gift.,Ses01M
Ses01F_impro05_M026,neu,"you know, the airlines can not be held responsible for every bag of luggage that comes through here.",Ses01M
Ses01F_impro05_M027,neu,with the amount of--,Ses01M
Ses01F_impro05_M028,neu,"um, actually, i don't know. i don't know. oh really?",Ses01M
Ses01F_impro05_M029,neu,well then maybe you can just call him and he can give you more money. but right now all i can do--,Ses01M
Ses01F_impro05_M030,neu,"right now all i can do is just give you this fifty dollars, i'm really sorry.",Ses01M
Ses01F_impro05_M031,neu,oh. my name is sean. hi.,Ses01M
Ses01F_impro05_M034,neu,"if you want, you can write a letter. i can give you the address. yes. an angry--",Ses01M
Ses01F_impro05_M035,neu,"or you can make a phone call. but i think a letter might be a little more-- in my impression, letters have more...",Ses01M
Ses01F_impro06_F002,sad,no.,Ses01F
Ses01F_impro06_F003,neu,that's sweet.,Ses01F
Ses01F_impro06_F004,neu,thank you.,Ses01F
Ses01F_impro06_F005,sad,i went to see her headstone a week or two ago.,Ses01F
Ses01F_impro06_F006,sad,"i used to go to cemeteries a lot before she died. i just, you know, i felt like they were urban oasis, you know, there is always this green in the city.",Ses01F
Ses01F_impro06_F007,sad,so i was like wandering around before. it takes forever to find her headstone; i always lose it. you know.,Ses01F
Ses01F_impro06_F008,sad,so i was looking at this other one and there was like a piece of candy there and i thought that i would take the candy and put it on her headstone. and-,Ses01F
Ses01F_impro06_F009,neu,"this woman came up and, you know, it was hers. it was her person that was there.",Ses01F
Ses01F_impro06_F010,sad,"yeah. and she was like, that's pathetic, i hope you enjoy it.",Ses01F
Ses01F_impro06_F011,sad,"and i, you know, i mean, i said i was sorry and i brought it back to her kind of and i like put it on the ground and she was like, no, it's fine. she was like, i would rather have her back, honestly.",Ses01F
Ses01F_impro06_F012,sad,"i don't know. it just, like, i felt so bad because i shouldn't have done it. i don't know. whatever.",Ses01F
Ses01F_impro06_F013,sad,i don't know.,Ses01F
Ses01F_impro06_F014,sad,at the cemetery?,Ses01F
Ses01F_impro06_F015,sad,couple hours.,Ses01F
Ses01F_impro06_F016,neu,"i brought- i brought chuck with me. he went to redlands, yeah, for the day. we ran through the sprinklers.",Ses01F
Ses01F_impro06_F018,neu,yeah. it's huge. redlands is an old city so they have lots and lots of stones.,Ses01F
Ses01F_impro06_F019,neu,yeah.,Ses01F
Ses01F_impro06_F020,sad,"it's weird. whenever i go back to town, i think of her. i mean, it's like ... i mean we grew up together and she died when we were twenty one. and yeah. she had cancer, she had two brain tumors.",Ses01F
Ses01F_impro06_F021,sad,"my best friend heather. she's got a- we have a- we built this like little-- there's a park, prospect park. and there is like a garden section of it that we set up for her.",Ses01F
Ses01F_impro06_F022,sad,she used to have these poetry parties on memorial day.,Ses01F
Ses01F_impro06_F023,sad,umm. yeah.,Ses01F
Ses01F_impro06_F024,sad,"and the last time before she died, i remember she couldn't really stand, umm...",Ses01F
Ses01F_impro06_F025,sad,"but i mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. and i remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. it was cool.",Ses01F
Ses01F_impro06_F026,sad,"some, i guess. she memorized this one, john dunn, it's called, death be not proud. and-",Ses01F
Ses01F_impro06_F027,neu,"there's another one, i can't remember.",Ses01F
Ses01F_impro06_F028,sad,"i remember, too, when we were-- she died at u.c.l.a. she had brain surgery and there was not much hope to begin with, but i gave blood for her surgery, her mom and i before, so we dropped her off in the waiting room and then we were giving blood and came back. and she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room. all she needs is a god damn audience. you know?",Ses01F
Ses01F_impro06_M000,sad,"i'm sorry, joy.",Ses01M
Ses01F_impro06_M001,neu,is there anything i can get you? do you want me to take care of anything for you or...?,Ses01M
Ses01F_impro06_M002,neu,...pick up anything?,Ses01M
Ses01F_impro06_M003,sad,you know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,Ses01M
Ses01F_impro06_M004,neu,hmm.,Ses01M
Ses01F_impro06_M005,neu,oh. she was there?,Ses01M
Ses01F_impro06_M006,neu,mmhmm.,Ses01M
Ses01F_impro06_M007,sad,yeah.,Ses01M
Ses01F_impro06_M008,neu,how long were you there for?,Ses01M
Ses01F_impro06_M009,neu,mmhmm.,Ses01M
Ses01F_impro06_M010,neu,oh really?,Ses01M
Ses01F_impro06_M011,neu,you ran through the sprinklers in the cemetery?,Ses01M
Ses01F_impro06_M012,neu,is it a big cemetery?,Ses01M
Ses01F_impro06_M013,neu,"oh, so they're like really old too, really old ones?",Ses01M
Ses01F_impro06_M014,neu,mmhmm.,Ses01M
Ses01F_impro06_M015,neu,mmhmm.,Ses01M
Ses01F_impro06_M016,neu,so she wrote a lot of poetry?,Ses01M
Ses01F_impro07_F000,hap,"yes. there's a big envelope it says, you're in. i know.",Ses01F
Ses01F_impro07_F002,hap,"i'm really excited. yeah. i don't know how i'm going to pay for anything, but... i also- yeah. loans, too, yeah. i applied, though, for a bunch of grants and scholarships so i'm still waiting to hear on that.",Ses01F
Ses01F_impro07_F003,hap,"oh- i know, i know, i know, i know.",Ses01F
Ses01F_impro07_F004,hap,"i don't know. i spend so much time commuting as it is, i'd rather.",Ses01F
Ses01F_impro07_F005,hap,i know. we should throw a party.,Ses01F
Ses01F_impro07_F009,hap,yeah. i'm not sure.,Ses01F
Ses01F_impro07_F010,hap,umm...p.h.d. [laughter],Ses01F
Ses01F_impro07_F012,hap,so i get to mold young minds. mrs.? that's my mother.,Ses01F
Ses01F_impro07_F013,hap,"i would be like- oh. right, right, right.",Ses01F
Ses01F_impro07_F016,hap,"i know. i made such a mess of it, the entire time. the last three things i've done, i've ruined everything, i think. mm-hmm. yeah.",Ses01F
Ses01F_impro07_M000,hap,did you get the letter?,Ses01M
Ses01F_impro07_M001,hap,yeah. that is so awesome.,Ses01M
Ses01F_impro07_M002,hap,oh my god. what are you going to do? [laughter],Ses01M
Ses01F_impro07_M003,hap,"oh-yeah, i bet you're really excited. oh. that's what loans are for? right? exactly.",Ses01M
Ses01F_impro07_M004,hap,"oh. good, good. that's awesome. are you going to stay around here? or are you going to like get a different neighborhood- you going to move to a different neighborhood?",Ses01M
Ses01F_impro07_M005,hap,this is so- i am so happy that you're going to stay. you're not going to...we should totally throw a party.,Ses01M
Ses01F_impro07_M006,hap,a rapper party ho. yeah. okay.,Ses01M
Ses01F_impro07_M007,hap,"i am just- yeah. i'm sticking around, i'm just doing my thing. i'm living here. i'm so glad you're going to stay, i'm so glad you're going to be here. yeah. woo.",Ses01M
Ses01F_impro07_M008,hap,yeah. big time.,Ses01M
Ses01F_impro07_M009,hap,mmhmm. mmhmm. yay. so what major? what are you doing?,Ses01M
Ses01F_impro07_M012,neu,is this a masters or a p.h.d.? or can you...? nice,Ses01M
Ses01F_impro07_M013,neu,"that's good. don't you have to like teach a class, too, when you do that?",Ses01M
Ses01F_impro07_M014,hap,"teacher. mrs. nash, i have a question.",Ses01M
Ses01F_impro07_M015,hap,you have to get married. well you are married to chuck. you're mrs. nash. not to be confused with mrs. dash which is the popular seasoning.,Ses01M
Ses01F_impro07_M017,hap,yay...school's fun.,Ses01M
Ses01F_impro07_M018,neu,"of course, right. that's where the real money is, being a student.",Ses01M
Ses01F_impro07_M019,hap,that's how you get the big bucks. are you messing with the chair? don't ruin it.,Ses01M
Ses01F_script01_1_F005,neu,"he's dreaming of him again, walking around.",Ses01F
Ses01F_script01_1_F015,neu,"well i got an idea, but what's your story?",Ses01F
Ses01F_script01_1_F034,neu,just give it some more thought.,Ses01F
Ses01F_script01_1_F035,ang,what the hell is this?,Ses01F
Ses01F_script01_1_F037,ang,you have a business here. what the hell is this?,Ses01F
Ses01F_script01_1_F038,ang,oh. must you be inspired?,Ses01F
Ses01F_script01_1_F041,ang,"all right. but you don't want to think like that because what the hell are we working for, chris? it's all for you. this whole shooting match is for you.",Ses01F
Ses01F_script01_1_F042,ang,just don't think like that.,Ses01F
Ses01F_script01_1_M000,neu,he saw it.,Ses01M
Ses01F_script01_1_M001,neu,he was out here when it broke.,Ses01M
Ses01F_script01_1_M002,neu,four o clock this morning. i heard a crack and i woke up and looked out. he was standing right over there when it cracked.,Ses01M
Ses01F_script01_1_M003,neu,i don't know.,Ses01M
Ses01F_script01_1_M004,neu,i guess he is.,Ses01M
Ses01F_script01_1_M007,neu,you know larry is not coming back and i know it. why do we allow him to go on thinking that we believe with him?,Ses01M
Ses01F_script01_1_M010,neu,we've got to say it to him.,Ses01M
Ses01F_script01_1_M012,neu,"sit down, mom. i want to talk to you.",Ses01M
Ses01F_script01_1_M014,neu,you know.,Ses01M
Ses01F_script01_1_M015,neu,i'm going to ask her to marry me.,Ses01M
Ses01F_script01_1_M016,neu,you know it's not just my business.,Ses01M
Ses01F_script01_1_M017,neu,"so all right then, i'll just go ahead with it?",Ses01M
Ses01F_script01_1_M019,ang,"you know sometimes you infuriate me. you know that? isn't it your business if i tell father and he throws a fit about it? god, you have such a talent for ignoring things.",Ses01M
Ses01F_script01_1_M023,neu,i wanted to get this settled first.,Ses01M
Ses01F_script01_1_M024,neu,"well if she does, then that's it. that's the end of it. from her letters, though, i think she's pretty much forgotten him.",Ses01M
Ses01F_script01_1_M025,neu,and then we'll thrash it out with father. okay mom? don't avoid me.,Ses01M
Ses01F_script01_1_M034,neu,"i'll get out. i'll get married and i'll move somewhere else, maybe new york.",Ses01M
Ses01F_script01_1_M039,neu,"on this, i would.",Ses01M
Ses01F_script01_1_M040,neu,then help me stay here.,Ses01M
Ses01F_script01_2_F003,ang,he's not going to marry her.,Ses01F
Ses01F_script01_2_F004,ang,it's got that about it.,Ses01F
Ses01F_script01_2_F005,ang,"what is going on here, joe?",Ses01F
Ses01F_script01_2_F006,ang,she is not his girl. she knows she's not.,Ses01F
Ses01F_script01_2_F007,ang,"then why is she still single? new york is full of men, why is she still single? probably a hundred people told her she's foolish, but she waited.",Ses01F
Ses01F_script01_2_F008,ang,"because she knows what i know, that's why. she's faithful as a rock. in my darkest moments, i think of her waiting and i know that i'm right.",Ses01F
Ses01F_script01_2_F009,ang,"nobody in this house dares take away her faith, joe. you know strangers might, but not his father, not his brother.",Ses01F
Ses01F_script01_2_F010,ang,"i want you to-- i want you to act like he is coming back, both of you. don't think i haven't noticed you since chris invited her here.",Ses01F
Ses01F_script01_2_F011,ang,i won't stand for any nonsense.,Ses01F
Ses01F_script01_2_F012,ang,"because if he's not coming back, i'll kill myself. oh laugh, laugh all you like but why does this happen the very night he comes back. she goes to sleep in his room and his memorial breaks in pieces. look at it, joe, look.",Ses01F
Ses01F_script01_2_F013,ang,"just believe with me, joe. only last week a man came back in detroit missing longer than larry. believe with me. you, above all, have got to believe. just believe.",Ses01F
Ses01F_script01_2_M001,neu,well maybe...maybe he just wanted to see her.,Ses01M
Ses01F_script01_2_M004,neu,how do you know he's even thinking about it?,Ses01M
Ses01F_script01_2_M008,neu,how do you know why she waited?,Ses01M
Ses01F_script01_2_M017,ang,"what have i got to hide? what the hell is the matter with you, kate?",Ses01M
Ses01F_script01_3_F000,neu,you're the only one who still loves his parents.,Ses01F
Ses01F_script01_3_F001,neu,it's not so bad; it's a good thing.,Ses01F
Ses01F_script01_3_F002,neu,"[breathing] you know, it's lovely here. the air is sweet.",Ses01F
Ses01F_script01_3_F003,neu,"i'm not sorry, no. but i'm...i can't stay.",Ses01F
Ses01F_script01_3_F004,neu,"for one thing, your mother much as told me to go.",Ses01F
Ses01F_script01_3_F005,neu,"and then, you. you've been kind of...",Ses01F
Ses01F_script01_3_F006,neu,sort of embarrassed ever since i got here.,Ses01F
Ses01F_script01_3_F007,neu,i knew they would.,Ses01F
Ses01F_script01_3_F008,neu,"well sure, from your mother's point of view. why else would i come?",Ses01F
Ses01F_script01_3_F009,neu,"i, umm. i guess, i guess that's kind of why i came.",Ses01F
Ses01F_script01_3_F010,hap,[breathing],Ses01F
Ses01F_script01_3_F011,hap,[laughter],Ses01F
Ses01F_script01_3_F012,hap,[laughter],Ses01F
Ses01F_script01_3_F013,hap,no. no,Ses01F
Ses01F_script01_3_F014,neu,"chris, i've been ready a long, long, time.",Ses01F
Ses01F_script01_3_F015,neu,i almost got married two years ago.,Ses01F
Ses01F_script01_3_F016,neu,you started to write me.,Ses01F
Ses01F_script01_3_F017,hap,every day since.,Ses01F
Ses01F_script01_3_F019,hap,beating around the bush.,Ses01F
Ses01F_script01_3_F020,hap,"i will never forgive you. all i'd done was sit around wondering if i was crazy waiting so long, wondering if you were thinking about me.",Ses01F
Ses01F_script01_3_F021,hap,not like that you're not.,Ses01F
Ses01F_script01_3_F022,neu,"like larry's brother. do it like you, chris.",Ses01F
Ses01F_script01_3_F028,neu,"yeah, sure.",Ses01F
Ses01F_script01_3_F029,neu,how many?,Ses01F
Ses01F_script01_3_F030,sad,"aw, geez.",Ses01F
Ses01F_script01_3_F031,neu,mmhmm.,Ses01F
Ses01F_script01_3_F035,hap,what would i do with a fortune?,Ses01F
Ses01F_script01_3_M000,neu,"i know. it kind of went out of style, didn't it?",Ses01M
Ses01F_script01_3_M001,neu,you're not sorry you came.,Ses01M
Ses01F_script01_3_M003,neu,well.,Ses01M
Ses01F_script01_3_M004,neu,what?,Ses01M
Ses01F_script01_3_M005,neu,well i was kind of planning of sneaking up on you over the course of a week or so. they just take it for granted that we're all set.,Ses01M
Ses01F_script01_3_M008,hap,"i love you. annie, i love you.",Ses01M
Ses01F_script01_3_M009,hap,"i don't really have any imagination, that's all i know how to say.",Ses01M
Ses01F_script01_3_M010,hap,"am i embarrassing you? are you - see, i didn't want to do it here with this yard, on this porch. i wanted it to be somewhere new, some place fresh for both of us.",Ses01M
Ses01F_script01_3_M015,hap,why didn't you let me know?,Ses01M
Ses01F_script01_3_M016,hap,give me a...,Ses01M
Ses01F_script01_3_M017,hap,give me a kiss.,Ses01M
Ses01F_script01_3_M019,hap,"oh annie, we are going to live now. i am going to make you so happy.",Ses01M
Ses01F_script01_3_M020,hap,i kissed you.,Ses01M
Ses01F_script01_3_M021,sad,"hey, let's drive some place. huh? let's get out of here.",Ses01M
Ses01F_script01_3_M022,sad,no it's nothing like that. it's-,Ses01M
Ses01F_script01_3_M023,sad,yeah. i suppose i have been. but it's going from me.,Ses01M
Ses01F_script01_3_M024,sad,i don't even know how to start.,Ses01M
Ses01F_script01_3_M025,sad,"it's just all mixed up with so many other things, you know? you know overseas i was in command of a company?",Ses01M
Ses01F_script01_3_M026,sad,well i lost them.,Ses01M
Ses01F_script01_3_M027,sad,pretty much all.,Ses01M
Ses01F_script01_3_M028,sad,you can't just toss off a thing like that because they weren't just men. you know?,Ses01M
Ses01F_script01_3_M029,sad,"like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks. he just put them in my pocket. that's a little thing, you know, but that's what kind of guys i had.",Ses01M
Ses01F_script01_3_M030,sad,"they didn't die, they killed themselves for each other. i mean that, exactly. just a little more selfish and they would all be here today.",Ses01M
Ses01F_script01_3_M032,sad,"to bring that on to the earth again, you know, is like some kind of monument and i thought i would just make a difference to them.",Ses01M
Ses01F_script01_3_M033,sad,"but then i came home and it was incredible, you know? the whole thing was just kind of this random bus accident. you know, i went back to the rat race again, i went to work.",Ses01M
Ses01F_script01_3_M036,sad,and i didn't want any of it. i guess that included you.,Ses01M
