file,emotion,text,speaker,aug_text
Ses01F_impro02_F013,sad,"you'll videotape everything, yeah?",Ses01F,"You'll record everything, won't you?"
Ses01F_impro02_F014,sad,"maybe you can send it to me, like stream it, yeah?",Ses01F,"Maybe you could send it to me, like running water, huh?"
Ses01F_impro02_F015,sad,last month-- yeah.,Ses01F,Last month-- yeah.
Ses01F_impro02_F016,neu,i have to find sitters.,Ses01F,I have to find a seat.
Ses01F_impro02_F017,sad,"we've got friends, that's why we moved here, huh? because there is a day care down the street.",Ses01F,We have friends. That's why we moved here?
Ses01F_impro02_F018,neu,and your mother is close by.,Ses01F,Your mother's around.
Ses01F_impro02_F019,sad,i'll send you lots of letters.,Ses01F,I'll send you a lot of letters.
Ses01F_impro02_F020,sad,and i want lots and lots and lots of pictures.,Ses01F,"I want many, many, many, many pictures."
Ses01F_impro02_M001,sad,"i don't understand. you've already done so much, i don't know why do you have to go back.",Ses01M,I don't understand. You've done so much. I don't know why you're going back.
Ses01F_impro02_M005,sad,i don't know how you can be okay with this? i don't know why you're not-- you're fine with it.,Ses01M,I don't know how you can accept this.
Ses01F_impro02_M009,sad,i just don't see why it has to be you.,Ses01M,I just don't understand why it has to be you.
Ses01F_impro02_M010,sad,what am i going to do? huh?,Ses01M,What am I supposed to do?
Ses01F_impro02_M011,sad,yeah.,Ses01M,Yeah.
Ses01F_impro02_M012,neu,don't you guys have access to computers over there.,Ses01M,Can't you use a computer?
Ses01F_impro02_M013,sad,i just don't know how i'm going to do it without you.,Ses01M,I just don't know what I'd do without you.
Ses01F_impro02_M014,sad,i can't raise a baby by myself. how?,Ses01M,I can't raise a child on my own. How can I?
Ses01F_impro02_M015,neu,i know.,Ses01M,I know.
Ses01F_impro03_F000,hap,well vegas was awesome.,Ses01F,"Uh, Vegas is awesome."
Ses01F_impro03_F001,hap,"and, um, i got married.",Ses01F,"Well, I'm married."
Ses01F_impro03_F002,hap,yeah. in the old town part.,Ses01F,... partoftheoldtown.
Ses01F_impro03_F004,hap,um- yes. it was very romantic.,Ses01F,"Well, yeah, it's very romantic."
Ses01F_impro03_F005,hap,it was at the slot machines.,Ses01F,It's on the slot machine.
Ses01F_impro03_F006,hap,"uhuh, uhuh. he won big and he-and he realized that the only thing that would make it better was me as his bride.",Ses01F,"He won the grand prize, and he realized that the only thing that could make things better was for me to be his bride."
Ses01F_impro03_F008,hap,"yeah. well. you know, because he's leaving the next day.",Ses01F,Because he's leaving the next day.
Ses01F_impro03_F009,hap,but we're going to have a honeymoon cruise.,Ses01F,But we're going on a honeymoon.
Ses01F_impro03_F010,hap,oh. i hadn't even thought about that.,Ses01F,"Oh, I didn't even think about that."
Ses01F_impro03_F012,hap,oh. totally.,Ses01F,"Oh, totally."
Ses01F_impro03_F013,hap,i guess i'll- i guess i'll have an internet husband.[laughter],Ses01F,I guess I-I guess I'll have a husband on the Internet.
Ses01F_impro03_F015,hap,"yeah, so [laughter] he's calling me now",Ses01F,He's calling me now.
Ses01F_impro03_F016,hap,"he likes to keep tabs, you know.",Ses01F,"He likes to keep tabs, you know."
Ses01F_impro03_F017,neu,"uh, i think seven hundred and fifty dollars.",Ses01F,"Well, I think $750."
Ses01F_impro03_F018,neu,penny slots. that's what he plays.,Ses01F,That's how he plays.
Ses01F_impro03_F019,neu,yeah.,Ses01F,Yeah.
Ses01F_impro03_F021,hap,yeah. we played wheel of fortune pennies. it's like a giant thing with like-,Ses01F,"Yeah, we're playing Lucky urinal. It's like a giant thing, like..."
Ses01F_impro03_F022,neu,fifty bucks. mmhmm.,Ses01F,50 bucks. Mm-hmm.
Ses01F_impro03_F023,neu,yeah.,Ses01F,Yeah.
Ses01F_impro03_F024,hap,well so now we're married. we have cat children.,Ses01F,"Now that we're married, we have the cat's baby."
Ses01F_impro03_F025,hap,"we renamed brenda, lumber janet.",Ses01F,We rename it Brenda.
Ses01F_impro03_F026,hap,she needs a new name each state that we go into. [laughter],Ses01F,"She needs a new name, every state, we go in. [ GIGGLES ]"
Ses01F_impro03_M000,neu,so what's up? what's new?,Ses01M,What's wrong? Anything new?
Ses01F_impro03_M001,neu,yeah. i heard.,Ses01M,"Yeah, I heard."
Ses01F_impro03_M003,hap,who did you marry?,Ses01M,Who are you married to?
Ses01F_impro03_M006,neu,he turned to you and was like...,Ses01M,"He turned to you, like..."
Ses01F_impro03_M007,hap,[laughter] that's really romantic.,Ses01M,[ Chuckles ] It's really romantic.
Ses01F_impro03_M008,neu,yeah.,Ses01M,Yeah.
Ses01F_impro03_M009,neu,"does that mean that you're going to get citizenship, too, in- in england or whatever?",Ses01M,"Does this mean that you will also acquire British citizenship, in England or something?"
Ses01F_impro03_M011,neu,yeah. but he'll have like a long visa. can you go visit then for a long time?,Ses01M,But he'll have a long visa. Can you visit for a long time?
Ses01F_impro03_M013,hap,like you need another one of those.[laughter],Ses01M,Like you need another one of these. [ GIGGLES ]
Ses01F_impro03_M014,hap,is that your phone?,Ses01M,Is that your phone?
Ses01F_impro03_M015,hap,he loves you.,Ses01M,He loves you.
Ses01F_impro03_M016,neu,how much did he win at the slot?,Ses01M,How many bets did he win?
Ses01F_impro03_M019,neu,i'm a big fan of the wheel of fortune quarters. but it just costs so much. i don't know.,Ses01M,"I'm a big fan of Destiny, but it's too expensive. I don't know."
Ses01F_impro03_M020,neu,"but the pennies always get you because you end up spending like, you know, fifty bucks.",Ses01M,"But urinals always get you because you end up spending like, you know, $50."
Ses01F_impro03_M021,neu,"like, wait, but it's just pennies. you're like, wait a minute i'm on to you.",Ses01M,"Wait, but it's just change. You like it. Wait, I'm looking at you."
Ses01F_impro03_M022,hap,awesome.,Ses01M,That's great.
Ses01F_impro03_M023,hap,[laughter] cat babies.,Ses01M,[ GIGGLES ] Cat baby.
Ses01F_impro03_M024,neu,that's fair enough.,Ses01M,That's fair.
Ses01F_impro04_F000,neu,"uh, what? craig's list? oh the internet thing?",Ses01F,"What, Craig's list?"
Ses01F_impro04_F001,neu,i don't know. isn't that-- that's all like escort services and things like that.,Ses01F,I don't know...
Ses01F_impro04_F005,neu,he just...,Ses01F,He's just...
Ses01F_impro04_F006,neu,you know what? i heard about that job. i applied for that.,Ses01F,I heard about the job. I applied for the job.
Ses01F_impro04_F009,neu,yeah.,Ses01F,Yeah.
Ses01F_impro04_F013,neu,i just- i mean i call people up and i tell them what i'm good at.,Ses01F,"I mean, I'm calling people and telling them what I'm good at."
Ses01F_impro04_F014,neu,yeah.,Ses01F,Yeah.
Ses01F_impro04_F028,ang,i'm not frustrated.,Ses01F,I'm not depressed.
Ses01F_impro04_F029,ang,who do you think you are?,Ses01F,Who do you think you are?
Ses01F_impro04_F030,ang,you are so high and mighty. i just--,Ses01F,You're so tall and powerful. I just...
Ses01F_impro04_F031,ang,oh. i'm saving the environment. i'm riding this car because i- i want to.,Ses01F,I'm saving the environment. I'm riding this car because I want to.
Ses01F_impro04_F032,ang,"the bus, i'm riding the bus because i want to.",Ses01F,"Bus, I take the bus because I want to."
Ses01F_impro04_F033,ang,i can not-- you are not here by choice. nobody would ride this bus by choice.,Ses01F,No one's going to take this bus.
Ses01F_impro04_M000,neu,"have you tried, uh, craig's list?",Ses01M,Have you tried Craig's list?
Ses01F_impro04_M001,neu,yeah.,Ses01M,Yeah.
Ses01F_impro04_M002,neu,no. there's regular jobs on there.,Ses01M,"No, there's normal work there."
Ses01F_impro04_M003,neu,uh huh.,Ses01M,Oh-ho-ho-ho.
Ses01F_impro04_M004,neu,i'm just saying i have a friend that got a good job on it so i was just recommending it.,Ses01M,I just said I had a friend who got a good job so I just recommended it.
Ses01F_impro04_M005,neu,he's like a manager for a theatre.,Ses01M,He's like the manager of the theater.
Ses01F_impro04_M006,neu,he's like a house manager. yeah. it's a good job.,Ses01M,"He's like a house manager. Yeah, it's a good job."
Ses01F_impro04_M007,neu,you did?,Ses01M,Yeah?
Ses01F_impro04_M008,neu,yeah.,Ses01M,Yeah.
Ses01F_impro04_M009,neu,you've been looking for a job for a long time; that was a long time ago. right?,Ses01M,"You've been looking for a job for a long time. That was a long time ago, wasn't it?"
Ses01F_impro04_M010,neu,hmm.,Ses01M,Yeah.
Ses01F_impro04_M011,neu,i don't know. he had a really good resume i guess and--,Ses01M,I don't know. He's got a very good resume. I guess...
Ses01F_impro04_M012,neu,yeah. do you have a resume?,Ses01M,Do you have a resume?
Ses01F_impro04_M013,neu,it's kind of helpful when getting a job.,Ses01M,It helps to find a job.
Ses01F_impro04_M014,neu,well maybe we should sit down some time and you can just tell me all the stuff that you have done and i'll write it out.,Ses01M,"Well, maybe we should sit down for a while and you can just tell me everything you've done and I'll write it out."
Ses01F_impro04_M015,neu,"no. you can- or you can just bring it in person. but they need, generally, something to see, you know, what kind of what that you've done, what kind of--",Ses01M,"No, you can, or you can bring it directly, but they usually need something, see, you know, what you do, what kind of..."
Ses01F_impro04_M016,neu,"yeah. but the piece of paper helps, too.",Ses01M,"Yeah, but paper helps."
Ses01F_impro04_M017,neu,"no. but it has an outline, you know.",Ses01M,"No, but it has an outline, you know."
Ses01F_impro04_M018,neu,"i know. okay. well, um. maybe--",Ses01M,"Okay, um, um, maybe--"
Ses01F_impro04_M019,neu,yeah.,Ses01M,Yeah.
Ses01F_impro04_M020,neu,"okay, yeah. i would imagine.",Ses01M,"Okay, yeah, I'll imagine."
Ses01F_impro04_M021,neu,"well, sometimes you have to do things that you don't necessarily like to do to have a job. but the job affords you money, you won't have to be taking the bus right now.",Ses01M,"Sometimes you have to do something you don't necessarily like to have a job, but work makes you rich, and now you don't have to take a bus."
Ses01F_impro04_M022,neu,maybe get a car.,Ses01M,Maybe get a car.
Ses01F_impro04_M023,neu,"i just, you know, think you should try a little harder maybe.",Ses01M,"I just, you know, think you should try a little bit harder maybe."
Ses01F_impro04_M024,neu,i didn't say that.,Ses01M,I didn't say that.
Ses01F_impro04_M025,neu,"i am riding the bus, but by choice.",Ses01M,"I was on the bus, but I chose."
Ses01F_impro04_M026,neu,"to save the environment, carpool.",Ses01M,"To save the environment, to co-locate."
Ses01F_impro04_M027,neu,yes. one less car at a time.,Ses01M,"Yes, one less car at a time."
Ses01F_impro04_M028,neu,mmhmm.,Ses01M,MM-MM. MM-MM.
Ses01F_impro04_M031,neu,i don't think i'm anyone.,Ses01M,I don't think I'm anybody.
Ses01F_impro04_M032,neu,i- i-i didn't-- okay.,Ses01M,I-I didn't-- okay.
Ses01F_impro05_F008,ang,flight seven fourteen.,Ses01F,Flight 74.
Ses01F_impro05_F009,ang,"am i going to be getting, like, free tickets, free mileage. when can i expect my bag here?",Ses01F,When will I get my bag?
Ses01F_impro05_F011,ang,is this a joke?,Ses01F,Is this a joke?
Ses01F_impro05_F012,ang,"are there candid cameras? is this that movie? there's that show, right? airplane, airline.",Ses01F,Do you have a direct shot? Is that the movie?
Ses01F_impro05_F014,ang,"you're kidding me, this is a joke.",Ses01F,You're kidding. It's a joke.
Ses01F_impro05_F015,ang,do you have any idea-- fifty dollars? that's supposed to replace everything that i have? do you understand how much i have packed in there? not only does it have sentimental value; it can't be replaced like that. it was incredibly expensive.,Ses01F,"Do you know... $50? That should replace everything I have? Do you know how much I put in there? It's not just emotional, it can't be replaced. It's very expensive."
Ses01F_impro05_F016,ang,we flew in from paris. i've been shopping for three weeks.,Ses01F,We flew here from Paris. I've been shopping for three weeks.
Ses01F_impro05_F017,ang,i don't care what you're freaking sign says. somebody- somebody needs to replace everything i've got there and give me money for my inconvenience.,Ses01F,Someone... someone needs to change everything I have and give me money to make up for my inconvenience.
Ses01F_impro05_F018,ang,do you understand who my husband is?,Ses01F,Do you know who my husband is?
Ses01F_impro05_F019,ang,"if you're- if you're- if you're looking for a lawsuit, baby, you've found it.",Ses01F,"If you were... if you were... if you were looking for litigation, baby, you'd have found it."
Ses01F_impro05_F020,ang,oh-oh. it's a gift. you're-you're helping me out here?,Ses01F,"Oh, oh, this is a gift. Are you helping me?"
Ses01F_impro05_F021,ang,you are cruising for a bruising. you are in so much trouble.,Ses01F,You're wandering around because of the bruises. You're in a lot of trouble.
Ses01F_impro05_F022,ang,who's in charge? who is the president of jet blue?,Ses01F,Who's in charge?
Ses01F_impro05_F023,ang,because i probably know him.,Ses01F,Because I might know him.
Ses01F_impro05_F024,ang,yeah.,Ses01F,Yeah.
Ses01F_impro05_F025,ang,"i don't want money, i want my clothes.",Ses01F,I don't want money. I want my clothes.
Ses01F_impro05_F026,ang,what's your name?,Ses01F,What was your name again?
Ses01F_impro05_F028,ang,okay. i'll do that.,Ses01F,"Okay, I'll do it."
Ses01F_impro05_F029,ang,i don't think you have done everything you could do because i don't have my bag here yet.,Ses01F,I don't think you've done everything you can do because I haven't got my bag here.
Ses01F_impro05_F030,ang,a letter? i'll make a personal phone call.,Ses01F,I'll make a personal call.
Ses01F_impro05_M000,neu,hi. thanks for waiting.,Ses01M,Thank you for waiting.
Ses01F_impro05_M001,hap,can i help you?,Ses01M,Can I help you?
Ses01F_impro05_M002,hap,uh huh.,Ses01M,Oh-ho-ho-ho.
Ses01F_impro05_M003,neu,okay.,Ses01M,"Okay, okay."
Ses01F_impro05_M004,neu,okay.,Ses01M,"Okay, okay."
Ses01F_impro05_M005,neu,okay. great. i'm really sorry that you had to do that. what's your last name? let's start there.,Ses01M,I'm sorry you had to do this. What's your last name?
Ses01F_impro05_M006,neu,okay.,Ses01M,"Okay, okay."
Ses01F_impro05_M007,neu,all right- okay. and you lost your bag? is that- that the issue?,Ses01M,"All right, all right, then you lost your bag?"
Ses01F_impro05_M008,neu,uh-huh.,Ses01M,- Yeah.
Ses01F_impro05_M009,neu,"yeah. yeah, i don't see- i don't see any--",Ses01M,"Yeah, yeah, I didn't see-- I didn't see anything--"
Ses01F_impro05_M010,neu,"i don't see any record of it, and i-usually when i don't see a record of it, that means um-",Ses01M,"I don't see any records. Usually when I don't see records, it means..."
Ses01F_impro05_M011,neu,"we've mistakenly lost your baggage. we're very sorry. on behalf of jet blue i would like to apologize for any inconvenience. i am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. i'm very sorry, once again...",Ses01M,"We were wrong about your luggage, and we're very sorry for the blue jet, and I apologize for any inconvenience."
Ses01F_impro05_M012,neu,"for such an inconvenience and your bag, but",Ses01M,"♪ So inconvenienced and your bag, but ♪"
Ses01F_impro05_M013,neu,yeah.,Ses01M,Yeah.
Ses01F_impro05_M014,neu,"no, no.",Ses01M,"No, no."
Ses01F_impro05_M015,neu,"no, no. this is real.",Ses01M,"No, no, it's true."
Ses01F_impro05_M016,neu,"no. i'm just giving you money, the bag is gone. if it's not here, i'm really sorry there is nothing i can do because...",Ses01M,"No, I'm just giving you the money, the bag is gone."
Ses01F_impro05_M017,neu,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,Ses01M,"It's our only record, and if it's not listed here, then it's probably nowhere to go."
Ses01F_impro05_M019,neu,yes.,Ses01M,Yes.
Ses01F_impro05_M020,neu,i know.,Ses01M,I know.
Ses01F_impro05_M022,neu,okay. calm-,Ses01M,"All right, calm down--"
Ses01F_impro05_M023,neu,"actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",Ses01M,"In fact, we don't necessarily have a duty to give you... even this $50, so... actually..."
Ses01F_impro05_M024,neu,"we are actually not even allowed-- you know, like we don't have to give you this fifty dollars. we don't have to do that.",Ses01M,"We don't even have to... you know, like we don't have to give you this $50."
Ses01F_impro05_M025,neu,it's a gift.,Ses01M,It's a gift.
Ses01F_impro05_M026,neu,"you know, the airlines can not be held responsible for every bag of luggage that comes through here.",Ses01M,"You know, the airline can't be responsible for every bag that passes through here."
Ses01F_impro05_M027,neu,with the amount of--,Ses01M,And the amount--
Ses01F_impro05_M028,neu,"um, actually, i don't know. i don't know. oh really?",Ses01M,"Well, actually, I don't know."
Ses01F_impro05_M029,neu,well then maybe you can just call him and he can give you more money. but right now all i can do--,Ses01M,"Then you can call him. He can give you more money, but now I can only..."
Ses01F_impro05_M030,neu,"right now all i can do is just give you this fifty dollars, i'm really sorry.",Ses01M,All I can do now is give you $50. I'm really sorry.
Ses01F_impro05_M031,neu,oh. my name is sean. hi.,Ses01M,"Oh, my name is Sean. Hi."
Ses01F_impro05_M034,neu,"if you want, you can write a letter. i can give you the address. yes. an angry--",Ses01M,"If you want, you can write a letter. I can give you an address, yes, angry..."
Ses01F_impro05_M035,neu,"or you can make a phone call. but i think a letter might be a little more-- in my impression, letters have more...",Ses01M,"Or you could make a call, but I think a letter might be more... in my opinion, more..."
Ses01F_impro06_F002,sad,no.,Ses01F,Nothing.
Ses01F_impro06_F003,neu,that's sweet.,Ses01F,That's sweet.
Ses01F_impro06_F004,neu,thank you.,Ses01F,Thank you.
Ses01F_impro06_F005,sad,i went to see her headstone a week or two ago.,Ses01F,I went to see her gravestone a week or two ago.
Ses01F_impro06_F006,sad,"i used to go to cemeteries a lot before she died. i just, you know, i felt like they were urban oasis, you know, there is always this green in the city.",Ses01F,"I used to go to the cemetery before she died, and I just thought they were an oasis in the city."
Ses01F_impro06_F007,sad,so i was like wandering around before. it takes forever to find her headstone; i always lose it. you know.,Ses01F,"It takes forever to find her gravestone; I always lose it, you know."
Ses01F_impro06_F008,sad,so i was looking at this other one and there was like a piece of candy there and i thought that i would take the candy and put it on her headstone. and-,Ses01F,"So I looked at another candy, and there was a candy in it, and I thought, I'd take the candy and put it on her gravestone, and then..."
Ses01F_impro06_F009,neu,"this woman came up and, you know, it was hers. it was her person that was there.",Ses01F,"This woman came, you know, that's her, that's her people there."
Ses01F_impro06_F010,sad,"yeah. and she was like, that's pathetic, i hope you enjoy it.",Ses01F,"Yeah, she's like, it's sad, and I hope you like it."
Ses01F_impro06_F011,sad,"and i, you know, i mean, i said i was sorry and i brought it back to her kind of and i like put it on the ground and she was like, no, it's fine. she was like, i would rather have her back, honestly.",Ses01F,"I, you know, I mean, I'm sorry, I brought it back to her type, and I like to put it on the ground, and she's like, no, it's fine."
Ses01F_impro06_F012,sad,"i don't know. it just, like, i felt so bad because i shouldn't have done it. i don't know. whatever.",Ses01F,"It's just, like, I feel bad because I shouldn't do it."
Ses01F_impro06_F013,sad,i don't know.,Ses01F,"I don't know, I don't know, I don't know, I don't know."
Ses01F_impro06_F014,sad,at the cemetery?,Ses01F,At the cemetery?
Ses01F_impro06_F015,sad,couple hours.,Ses01F,A few hours.
Ses01F_impro06_F016,neu,"i brought- i brought chuck with me. he went to redlands, yeah, for the day. we ran through the sprinklers.",Ses01F,"I brought Chuck. He went to Redfield. Yeah, we went through the sprayer that day."
Ses01F_impro06_F018,neu,yeah. it's huge. redlands is an old city so they have lots and lots of stones.,Ses01F,"Redfield is an ancient city, so they have a lot of rocks."
Ses01F_impro06_F019,neu,yeah.,Ses01F,Yeah.
Ses01F_impro06_F020,sad,"it's weird. whenever i go back to town, i think of her. i mean, it's like ... i mean we grew up together and she died when we were twenty one. and yeah. she had cancer, she had two brain tumors.",Ses01F,"I mean, it's like... we grew up together and she died when we were 21."
Ses01F_impro06_F021,sad,"my best friend heather. she's got a- we have a- we built this like little-- there's a park, prospect park. and there is like a garden section of it that we set up for her.",Ses01F,"She has one, we have one, we build this like a little-- there's a park, a park for futures."
Ses01F_impro06_F022,sad,she used to have these poetry parties on memorial day.,Ses01F,She used to have these poetry parties on her anniversary.
Ses01F_impro06_F023,sad,umm. yeah.,Ses01F,"Uh, yeah."
Ses01F_impro06_F024,sad,"and the last time before she died, i remember she couldn't really stand, umm...",Ses01F,"For the last time before she died, I remember she really couldn't stand it."
Ses01F_impro06_F025,sad,"but i mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. and i remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. it was cool.",Ses01F,"I mean, she can, but it is, so it's kind of like sitting on her feet holding her feet, and she has these poems in her memory, and I remember her looking up, and she had curly and red hair, and she had a palm tree behind her, and it's like a crown growing out of her head, and it's cool."
Ses01F_impro06_F026,sad,"some, i guess. she memorized this one, john dunn, it's called, death be not proud. and-",Ses01F,"She's carrying this, John Dane. Call it. Death is not proud of it."
Ses01F_impro06_F027,neu,"there's another one, i can't remember.",Ses01F,There's another one. I don't remember.
Ses01F_impro06_F028,sad,"i remember, too, when we were-- she died at u.c.l.a. she had brain surgery and there was not much hope to begin with, but i gave blood for her surgery, her mom and i before, so we dropped her off in the waiting room and then we were giving blood and came back. and she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room. all she needs is a god damn audience. you know?",Ses01F,"She had brain surgery and didn't have much hope of starting, but I gave her the blood of surgery, her mother and I before, so we threw her in the waiting room, and then we gave her blood, and then she came back, and she sat in the wheelchair, and she couldn't do anything, and she read her poems like she was in the waiting room. She needed just a fucking audience, you know?"
Ses01F_impro06_M000,sad,"i'm sorry, joy.",Ses01M,"I'm sorry, Joy."
Ses01F_impro06_M001,neu,is there anything i can get you? do you want me to take care of anything for you or...?,Ses01M,Is there anything I can do to help you?
Ses01F_impro06_M002,neu,...pick up anything?,Ses01M,Did you buy anything?
Ses01F_impro06_M003,sad,you know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,Ses01M,"You know, welcome you to stay in my house if you want to just check out for a few days and hang out."
Ses01F_impro06_M004,neu,hmm.,Ses01M,Yeah.
Ses01F_impro06_M005,neu,oh. she was there?,Ses01M,"Oh, is she there?"
Ses01F_impro06_M006,neu,mmhmm.,Ses01M,MM-MM. MM-MM.
Ses01F_impro06_M007,sad,yeah.,Ses01M,Yeah.
Ses01F_impro06_M008,neu,how long were you there for?,Ses01M,How long have you been there?
Ses01F_impro06_M009,neu,mmhmm.,Ses01M,MM-MM. MM-MM.
Ses01F_impro06_M010,neu,oh really?,Ses01M,"Oh, really?"
Ses01F_impro06_M011,neu,you ran through the sprinklers in the cemetery?,Ses01M,You ran through a graveyard sprayer?
Ses01F_impro06_M012,neu,is it a big cemetery?,Ses01M,Is it a big cemetery?
Ses01F_impro06_M013,neu,"oh, so they're like really old too, really old ones?",Ses01M,"Oh, so they're like really old, really old ones?"
Ses01F_impro06_M014,neu,mmhmm.,Ses01M,MM-MM. MM-MM.
Ses01F_impro06_M015,neu,mmhmm.,Ses01M,MM-MM. MM-MM.
Ses01F_impro06_M016,neu,so she wrote a lot of poetry?,Ses01M,So she wrote a lot of poems?
Ses01F_impro07_F000,hap,"yes. there's a big envelope it says, you're in. i know.",Ses01F,"Yeah, there's a big envelope that says you in, I know."
Ses01F_impro07_F002,hap,"i'm really excited. yeah. i don't know how i'm going to pay for anything, but... i also- yeah. loans, too, yeah. i applied, though, for a bunch of grants and scholarships so i'm still waiting to hear on that.",Ses01F,"I'm really excited, yeah, I don't know how to pay, but... I'm also-- yeah, loan, yeah, yeah, I applied for a lot of grants and scholarships, so I'm still waiting for the news."
Ses01F_impro07_F003,hap,"oh- i know, i know, i know, i know.",Ses01F,"Oh, I know, I know, I know, I know."
Ses01F_impro07_F004,hap,"i don't know. i spend so much time commuting as it is, i'd rather.",Ses01F,I don't know. I spent so much time on a ride. I'd rather...
Ses01F_impro07_F005,hap,i know. we should throw a party.,Ses01F,We should have a party.
Ses01F_impro07_F009,hap,yeah. i'm not sure.,Ses01F,"Yeah, I'm not sure."
Ses01F_impro07_F010,hap,umm...p.h.d. [laughter],Ses01F,"Um... afternoon, h.d. [ GIGGLES ]"
Ses01F_impro07_F012,hap,so i get to mold young minds. mrs.? that's my mother.,Ses01F,"That's why I'm starting to shape the minds of young people. Ma'am, that's my mom."
Ses01F_impro07_F013,hap,"i would be like- oh. right, right, right.",Ses01F,"- Oh, yeah, yeah, yeah, yeah."
Ses01F_impro07_F016,hap,"i know. i made such a mess of it, the entire time. the last three things i've done, i've ruined everything, i think. mm-hmm. yeah.",Ses01F,"I know, I've been making a mess of things. I've done the last three things. I've ruined everything. I think so."
Ses01F_impro07_M000,hap,did you get the letter?,Ses01M,Did you get the letter?
Ses01F_impro07_M001,hap,yeah. that is so awesome.,Ses01M,"Yeah, that's so awesome."
Ses01F_impro07_M002,hap,oh my god. what are you going to do? [laughter],Ses01M,What are you gonna do?
Ses01F_impro07_M003,hap,"oh-yeah, i bet you're really excited. oh. that's what loans are for? right? exactly.",Ses01M,"Oh, yeah, I bet you're really excited. Oh, that's the purpose of the loan, right?"
Ses01F_impro07_M004,hap,"oh. good, good. that's awesome. are you going to stay around here? or are you going to like get a different neighborhood- you going to move to a different neighborhood?",Ses01M,"Oh, good, good, good."
Ses01F_impro07_M005,hap,this is so- i am so happy that you're going to stay. you're not going to...we should totally throw a party.,Ses01M,I'm glad you're staying.
Ses01F_impro07_M006,hap,a rapper party ho. yeah. okay.,Ses01M,"The rapper party, huh, yeah."
Ses01F_impro07_M007,hap,"i am just- yeah. i'm sticking around, i'm just doing my thing. i'm living here. i'm so glad you're going to stay, i'm so glad you're going to be here. yeah. woo.",Ses01M,I'm glad you're here. I'm glad you're here.
Ses01F_impro07_M008,hap,yeah. big time.,Ses01M,"Yeah, big time."
Ses01F_impro07_M009,hap,mmhmm. mmhmm. yay. so what major? what are you doing?,Ses01M,"Uh, uh, uh, uh, yeah, so what major?"
Ses01F_impro07_M012,neu,is this a masters or a p.h.d.? or can you...? nice,Ses01M,Is this a master or a p.h.d. or can you...
Ses01F_impro07_M013,neu,"that's good. don't you have to like teach a class, too, when you do that?",Ses01M,"Good. Don't you like classes, too?"
Ses01F_impro07_M014,hap,"teacher. mrs. nash, i have a question.",Ses01M,"Mrs. Nash, I have a question."
Ses01F_impro07_M015,hap,you have to get married. well you are married to chuck. you're mrs. nash. not to be confused with mrs. dash which is the popular seasoning.,Ses01M,"You're married to Chuck, and you're Mrs. Nash."
Ses01F_impro07_M017,hap,yay...school's fun.,Ses01M,School fun.
